# k1  k2  k3  B_rspace  err  B_sspace(w/oAP)  err  B_sspace(w/AP)  err  N-of-triangles
0.015 0.075 0.095 1.761520e+09 1.974956e+07 3.154497e+09 3.354261e+07 4.268448e+09 8.469281e+07 87849626
0.015 0.085 0.085 1.259863e+09 2.008119e+07 2.025078e+09 2.891479e+07 2.178628e+09 2.724531e+07 445763184
0.015 0.085 0.095 1.414437e+09 1.755386e+07 2.397946e+09 2.938848e+07 2.695598e+09 3.547879e+07 432021798
0.015 0.085 0.105 1.560540e+09 2.886126e+07 2.767379e+09 3.436323e+07 3.879516e+09 4.537954e+07 107906430
0.015 0.095 0.095 1.072871e+09 1.299803e+07 1.708264e+09 1.608885e+07 1.807628e+09 2.319222e+07 564075576
0.015 0.095 0.105 1.202855e+09 1.257189e+07 2.027897e+09 1.890576e+07 2.270557e+09 1.959968e+07 534341034
0.015 0.095 0.115 1.281087e+09 3.035713e+07 2.247705e+09 3.904425e+07 3.217647e+09 4.447576e+07 133788446
0.015 0.105 0.105 9.226506e+08 9.896754e+06 1.466283e+09 1.474586e+07 1.577542e+09 1.750099e+07 682835016
0.015 0.105 0.115 1.011213e+09 8.501336e+06 1.685138e+09 1.569535e+07 1.906882e+09 1.873989e+07 645003186
0.015 0.105 0.125 1.068788e+09 1.615573e+07 1.875718e+09 2.299348e+07 2.801147e+09 5.058765e+07 160374414
0.015 0.115 0.115 8.223690e+08 1.339101e+07 1.284381e+09 1.525434e+07 1.390970e+09 1.572224e+07 819677712
0.015 0.115 0.125 8.969507e+08 1.109869e+07 1.483654e+09 1.599431e+07 1.707926e+09 1.893998e+07 769335306
0.015 0.115 0.135 9.532562e+08 2.127292e+07 1.657211e+09 2.860642e+07 2.607033e+09 4.325207e+07 188138150
0.015 0.125 0.125 7.719447e+08 1.700529e+07 1.197833e+09 2.167639e+07 1.283693e+09 1.917798e+07 973782408
0.015 0.125 0.135 8.552779e+08 8.622450e+06 1.383383e+09 1.024169e+07 1.613158e+09 1.254977e+07 902667834
0.015 0.125 0.145 9.677569e+08 1.117781e+07 1.622616e+09 2.021691e+07 2.626189e+09 3.757818e+07 221825478
0.015 0.135 0.135 7.461928e+08 3.719774e+06 1.135687e+09 7.537575e+06 1.201558e+09 8.061630e+06 1127700528
0.015 0.135 0.145 8.158754e+08 7.914253e+06 1.307584e+09 1.009167e+07 1.533752e+09 1.283145e+07 1045600314
0.015 0.145 0.145 6.793527e+08 8.257470e+06 1.023322e+09 1.109125e+07 1.088993e+09 1.202091e+07 1304959728
0.025 0.025 0.025 3.139473e+09 3.738895e+08 5.005913e+09 5.513158e+08 5.657191e+09 5.789250e+08 62947992
0.025 0.025 0.035 2.882454e+09 9.855187e+07 4.778605e+09 1.510756e+08 5.280923e+09 1.617850e+08 89357928
0.025 0.025 0.045 3.461329e+09 8.310926e+07 6.058742e+09 1.391383e+08 6.515017e+09 1.403905e+08 97552674
0.025 0.025 0.055 3.131485e+09 1.948116e+08 5.868485e+09 3.308359e+08 6.988405e+09 3.337268e+08 26611110
0.025 0.035 0.035 2.438155e+09 7.753188e+07 3.952447e+09 1.020004e+08 4.173723e+09 1.162340e+08 126846432
0.025 0.035 0.045 2.338865e+09 5.286980e+07 3.936019e+09 8.884842e+07 4.178019e+09 9.181431e+07 161465016
0.025 0.035 0.055 2.582017e+09 4.636093e+07 4.600665e+09 6.960990e+07 4.994612e+09 6.757954e+07 168795690
0.025 0.035 0.065 2.694338e+09 8.608582e+07 4.919719e+09 1.187178e+08 5.702957e+09 1.259295e+08 44474094
0.025 0.045 0.045 1.997126e+09 3.950076e+07 3.191205e+09 4.565913e+07 3.436777e+09 5.656654e+07 205542552
0.025 0.045 0.055 1.928069e+09 2.705534e+07 3.197785e+09 3.830436e+07 3.441191e+09 3.572423e+07 251265408
